Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
75,2013-14,"23,304",323,"1,513","1,651","1,599","1,621","1,570","1,577","1,547","1,524","1,565","2,043","1,641","1,251","3,879","6,281",27,"17,023",73,"1,480",6.4,"8,882",38.1,"8,815",37.8,"1,092",4.7,"3,035",13,"22,755",97.6,"4,253",18.3,"15,815",67.9,No Data
79,2013-14,"5,574",0,0,0,0,0,1,2,10,39,90,869,"4,276",167,120,"1,985",35.6,"3,589",64.4,406,7.3,"2,557",45.9,"2,258",40.5,92,1.7,261,4.7,811,14.5,"1,287",23.1,"3,156",56.6,No Data
84,2013-14,"71,905",0,"9,670","9,045","7,701","6,746","5,601","6,630","6,593","4,930","3,894","4,736","2,974","1,948","1,437","36,671",51,"35,234",49,"1,516",2.1,"41,388",57.6,"25,078",34.9,"1,287",1.8,"2,636",3.7,"11,208",15.6,"4,541",6.3,"57,264",79.6,No Data
1,2014-15,"12,316","1,106",901,934,897,871,920,912,826,743,844,659,983,890,830,"6,040",49,"6,276",51,"2,812",22.8,"2,083",16.9,"5,039",40.9,302,2.5,"2,080",16.9,"2,550",20.7,"1,200",9.7,"7,911",64.2,62.1%
2,2014-15,"62,854","1,642","3,139","3,068","3,086","2,901","2,845","2,584","2,494","2,390","2,319","10,124","9,706","8,599","7,957","32,917",52.4,"29,937",47.6,"14,595",23.2,"10,299",16.4,"21,067",33.5,"2,039",3.2,"14,854",23.6,"9,793",15.6,"5,776",9.2,"34,361",54.7,50.1%
3,2014-15,"22,920",986,"1,507","1,501","1,432","1,356","1,423","1,456","1,351","1,390","1,354","2,290","2,473","2,135","2,266","12,266",53.5,"10,654",46.5,"1,786",7.8,"5,476",23.9,"7,947",34.7,838,3.7,"6,873",30,"3,806",16.6,"1,267",5.5,"11,688",51,47.3%
4,2014-15,"14,220","1,086",993,"1,076","1,090","1,081","1,075","1,041","1,052","1,041","1,035","1,034","1,012",850,754,"7,257",51,"6,963",49,954,6.7,"3,729",26.2,"8,731",61.4,242,1.7,564,4,"3,307",23.3,"1,491",10.5,"11,433",80.4,77.4%
5,2014-15,"12,943","1,349",818,870,852,867,875,805,797,868,935,"1,106","1,060",862,879,"6,254",48.3,"6,689",51.7,427,3.3,"6,685",51.6,"5,078",39.2,244,1.9,509,3.9,"2,623",20.3,"1,154",8.9,"10,677",82.5,77.8%
6,2014-15,"24,817","1,859","1,953","2,001","2,090","2,008","2,058","1,714","1,736","1,763","1,893","1,763","1,506","1,174","1,299","12,100",48.8,"12,717",51.2,297,1.2,"1,851",7.5,"21,467",86.5,169,0.7,"1,033",4.2,"4,233",17.1,"7,117",28.7,"20,945",84.4,77.7%
7,2014-15,"20,696","1,477","1,326","1,353","1,343","1,277","1,348","1,268","1,264","1,347","1,337","2,177","2,140","1,435","1,604","9,733",47,"10,963",53,247,1.2,"5,593",27,"14,378",69.5,162,0.8,316,1.5,"4,513",21.8,"3,458",16.7,"18,947",91.5,86.5%
8,2014-15,"30,166","2,171","2,367","2,355","2,286","2,234","2,286","2,024","2,028","2,099","2,162","2,374","2,201","1,667","1,912","14,706",48.8,"15,460",51.2,"1,537",5.1,"7,182",23.8,"19,056",63.2,373,1.2,"2,018",6.7,"6,899",22.9,"3,586",11.9,"23,923",79.3,75.0%
9,2014-15,"37,312","2,464","3,005","3,128","3,132","3,001","2,902","2,675","2,723","2,861","2,834","2,420","2,284","2,038","1,845","18,182",48.7,"19,130",51.3,539,1.4,"11,207",30,"24,841",66.6,266,0.7,459,1.2,"7,620",20.4,"8,195",22,"33,824",90.7,87.0%
10,2014-15,"57,714","3,032","4,566","4,641","4,516","4,443","4,264","4,075","3,758","3,716","3,747","4,870","4,481","3,731","3,874","28,202",48.9,"29,512",51.1,"4,299",7.4,"9,852",17.1,"39,242",68,782,1.4,"3,539",6.1,"11,244",19.5,"11,537",20,"47,168",81.7,77.0%
11,2014-15,"41,182","2,890","3,175","3,414","3,371","3,247","3,263","3,114","2,928","3,007","3,171","3,039","2,661","1,944","1,958","19,769",48,"21,413",52,"3,047",7.4,"17,363",42.2,"16,640",40.4,748,1.8,"3,384",8.2,"7,782",18.9,"3,803",9.2,"30,495",74,67.2%
12,2014-15,"25,000","1,631","1,956","2,051","2,000","1,857","1,986","1,701","1,680","1,736","1,796","1,907","1,808","1,523","1,368","12,278",49.1,"12,722",50.9,542,2.2,"6,633",26.5,"17,054",68.2,357,1.4,414,1.7,"5,154",20.6,"4,521",18.1,"22,277",89.1,84.9%
13,2014-15,"22,253","1,115","1,201","1,240","1,242","1,178","1,084",941,723,755,913,"3,008","2,929","2,908","3,016","10,726",48.2,"11,527",51.8,"4,134",18.6,"11,072",49.8,"3,601",16.2,672,3,"2,774",12.5,"2,952",13.3,954,4.3,"15,219",68.4,58.0%
14,2014-15,"20,761","1,701","1,317","1,393","1,359","1,257","1,170","1,204","1,291","1,234","1,300","2,147","1,975","1,645","1,768","9,934",47.8,"10,827",52.2,846,4.1,"4,774",23,"12,155",58.5,319,1.5,"2,667",12.8,"4,071",19.6,"2,286",11,"14,780",71.2,69.5%
15,2014-15,"31,916","2,457","3,233","3,252","3,262","3,004","2,836","2,683","1,772","1,753","1,708","1,721","1,735","1,312","1,188","16,094",50.4,"15,822",49.6,"5,110",16,"4,866",15.2,"12,493",39.1,786,2.5,"8,661",27.1,"5,840",18.3,"5,528",17.3,"18,275",57.3,54.6%
16,2014-15,"8,314",817,643,604,622,668,644,588,426,514,511,552,511,482,732,"3,967",47.7,"4,347",52.3,140,1.7,"6,496",78.1,"1,476",17.8,99,1.2,103,1.2,"1,938",23.3,378,4.5,"6,763",81.3,78.7%
17,2014-15,"25,523","2,310","1,549","1,559","1,659","1,641","1,598","1,399","1,687","1,784","1,903","2,254","2,210","1,959","2,011","12,773",50,"12,750",50,599,2.3,"20,095",78.7,"3,574",14,477,1.9,778,3,"4,156",16.3,"2,382",9.3,"20,584",80.6,69.6%
18,2014-15,"17,452","1,277","1,162","1,256","1,319","1,275","1,403","1,205","1,187","1,325","1,339","1,314","1,294","1,051","1,045","8,569",49.1,"8,883",50.9,213,1.2,"15,318",87.8,"1,270",7.3,258,1.5,393,2.3,"2,946",16.9,815,4.7,"13,560",77.7,61.6%
